# Source: KKBox WSDM Churn Prediction Challenge
fold,scorer,period_start,precision
1,logistic_finance,2016-02-16,0.26
1,logistic_finance,2016-02-23,0.24
1,logistic_finance,2016-03-01,0.06
1,logistic_finance,2016-03-08,0.02
1,logistic_finance,2016-03-15,0.04
1,logistic_finance,2016-03-22,0.0
1,logistic_finance,2016-03-29,0.26
1,logistic_finance,2016-04-05,0.24
1,logistic_finance,2016-04-12,0.28
1,logistic_finance,2016-04-19,0.3
1,logistic_finance,2016-04-26,0.24
1,logistic_finance,2016-05-03,0.24
1,logistic_finance,2016-05-10,0.28
1,logistic_finance,2016-05-17,0.28
1,logistic,2016-01-05,0.22
1,logistic,2016-01-12,0.12
1,logistic,2016-01-19,0.08
1,logistic,2016-01-26,0.14
1,logistic,2016-02-02,0.18
1,logistic,2016-02-09,0.12
1,logistic,2016-02-16,0.26
1,logistic,2016-02-23,0.26
1,logistic,2016-03-01,0.06
1,logistic,2016-03-08,0.02
1,logistic,2016-03-15,0.04
1,logistic,2016-03-22,0.0
1,logistic,2016-03-29,0.24
1,logistic,2016-04-05,0.26
1,logistic,2016-04-12,0.3
1,logistic,2016-04-19,0.34
1,logistic,2016-04-26,0.22
1,logistic,2016-05-03,0.24
1,logistic,2016-05-10,0.24
1,logistic,2016-05-17,0.28
1,logistic_tuned_finance,2016-01-05,0.24
1,logistic_tuned_finance,2016-01-12,0.12
1,logistic_tuned_finance,2016-01-19,0.08
1,logistic_tuned_finance,2016-01-26,0.16
1,logistic_tuned_finance,2016-02-02,0.12
1,logistic_tuned_finance,2016-02-09,0.06
1,logistic_tuned_finance,2016-02-16,0.18
1,logistic_tuned_finance,2016-02-23,0.2
1,logistic_tuned_finance,2016-03-01,0.06
1,logistic_tuned_finance,2016-03-08,0.0
1,logistic_tuned_finance,2016-03-15,0.0
1,logistic_tuned_finance,2016-03-22,0.0
1,logistic_tuned_finance,2016-03-29,0.2
1,logistic_tuned_finance,2016-04-05,0.22
1,logistic_tuned_finance,2016-04-12,0.24
1,logistic_tuned_finance,2016-04-19,0.24
1,logistic_tuned_finance,2016-04-26,0.14
1,logistic_tuned_finance,2016-05-03,0.16
1,logistic_tuned_finance,2016-05-10,0.18
1,logistic_tuned_finance,2016-05-17,0.2
1,logistic_tuned,2016-01-05,0.24
1,logistic_tuned,2016-01-12,0.1
1,logistic_tuned,2016-01-19,0.1
1,logistic_tuned,2016-01-26,0.06
1,logistic_tuned,2016-02-02,0.1
1,logistic_tuned,2016-02-09,0.08
1,logistic_tuned,2016-02-16,0.22
1,logistic_tuned,2016-02-23,0.22
1,logistic_tuned,2016-03-01,0.06
1,logistic_tuned,2016-03-08,0.02
1,logistic_tuned,2016-03-15,0.02
1,logistic_tuned,2016-03-22,0.02
1,logistic_tuned,2016-03-29,0.18
1,logistic_tuned,2016-04-05,0.2
1,logistic_tuned,2016-04-12,0.16
1,logistic_tuned,2016-04-19,0.2
1,logistic_tuned,2016-04-26,0.14
1,logistic_tuned,2016-05-03,0.22
1,logistic_tuned,2016-05-10,0.2
1,logistic_tuned,2016-05-17,0.22
1,xgboost_finance,2016-01-05,0.56
1,xgboost_finance,2016-01-12,0.46
1,xgboost_finance,2016-01-19,0.4
1,xgboost_finance,2016-01-26,0.28
1,xgboost_finance,2016-02-02,0.3
1,xgboost_finance,2016-02-09,0.28
1,xgboost_finance,2016-02-16,0.34
1,xgboost_finance,2016-02-23,0.3
1,xgboost_finance,2016-03-01,0.36
1,xgboost_finance,2016-03-08,0.4
1,xgboost_finance,2016-03-15,0.34
1,xgboost_finance,2016-03-22,0.28
1,xgboost_finance,2016-03-29,0.3
1,xgboost_finance,2016-04-05,0.32
1,xgboost_finance,2016-04-12,0.3
1,xgboost_finance,2016-04-19,0.32
1,xgboost_finance,2016-04-26,0.3
1,xgboost_finance,2016-05-03,0.4
1,xgboost_finance,2016-05-10,0.4
1,xgboost_finance,2016-05-17,0.4
1,xgboost,2016-01-05,0.44
1,xgboost,2016-01-12,0.38
1,xgboost,2016-01-19,0.26
1,xgboost,2016-01-26,0.26
1,xgboost,2016-02-02,0.26
1,xgboost,2016-02-09,0.3
1,xgboost,2016-02-16,0.32
1,xgboost,2016-02-23,0.28
1,xgboost,2016-03-01,0.38
1,xgboost,2016-03-08,0.4
1,xgboost,2016-03-15,0.34
1,xgboost,2016-03-22,0.32
1,xgboost,2016-03-29,0.32
1,xgboost,2016-04-05,0.3
1,xgboost,2016-04-12,0.3
1,xgboost,2016-04-19,0.32
1,xgboost,2016-04-26,0.32
1,xgboost,2016-05-03,0.42
1,xgboost,2016-05-10,0.42
1,xgboost,2016-05-17,0.42
2,random,2016-05-24,0.02
2,random,2016-05-31,0.0
2,random,2016-06-07,0.02
2,random,2016-06-14,0.0
2,random,2016-06-21,0.02
2,random,2016-06-28,0.0
2,random,2016-07-05,0.04
2,random,2016-07-12,0.0
2,random,2016-07-19,0.0
2,random,2016-07-26,0.02
2,random,2016-08-02,0.0
2,random,2016-08-09,0.0
2,random,2016-08-16,0.02
2,random,2016-08-23,0.04
2,random,2016-08-30,0.02
2,random,2016-09-06,0.0
2,random,2016-09-13,0.02
2,random,2016-09-20,0.0
2,random,2016-09-27,0.0
2,random,2016-10-04,0.04
2,revenue,2016-05-24,0.08
2,revenue,2016-05-31,0.1
2,revenue,2016-06-07,0.1
2,revenue,2016-06-14,0.16
2,revenue,2016-06-21,0.18
2,revenue,2016-06-28,0.2
2,revenue,2016-07-05,0.16
2,revenue,2016-07-12,0.14
2,revenue,2016-07-19,0.12
2,revenue,2016-07-26,0.08
2,revenue,2016-08-02,0.06
2,revenue,2016-08-09,0.04
2,revenue,2016-08-16,0.0
2,revenue,2016-08-23,0.0
2,revenue,2016-08-30,0.04
2,revenue,2016-09-06,0.04
2,revenue,2016-09-13,0.06
2,revenue,2016-09-20,0.06
2,revenue,2016-09-27,0.08
2,revenue,2016-10-04,0.08
2,logistic_finance,2016-05-24,0.26
2,logistic_finance,2016-05-31,0.14
2,logistic_finance,2016-06-07,0.22
2,logistic_finance,2016-06-14,0.22
2,logistic_finance,2016-06-21,0.2
2,logistic_finance,2016-06-28,0.14
2,logistic_finance,2016-07-05,0.08
2,logistic_finance,2016-07-12,0.1
2,logistic_finance,2016-07-19,0.06
2,logistic_finance,2016-07-26,0.12
2,logistic_finance,2016-08-02,0.04
2,logistic_finance,2016-08-09,0.06
2,logistic_finance,2016-08-16,0.04
2,logistic_finance,2016-08-23,0.04
2,logistic_finance,2016-08-30,0.0
2,logistic_finance,2016-09-06,0.12
